Protein1_ID,Protein2_ID,IAV_Strain,IAV_Segment
Q9BYD2,P03466,PR8,NP
P52815,P03466,PR8,NP
Q9NZB2,P03466,PR8,NP
Q8WXA9,P03466,PR8,NP
Q13126,P03466,PR8,NP
P08579,P03466,PR8,NP
Q9BZE1,P03466,PR8,NP
Q9HD26,P03466,PR8,NP
Q15020,P03466,PR8,NP
Q12926,P03466,PR8,NP
Q96L21,P03466,PR8,NP
P47897,P03466,PR8,NP
Q9H2W6,P03466,PR8,NP
Q01081,P03466,PR8,NP
Q9Y3B7,P03466,PR8,NP
P46087,P03466,PR8,NP
Q96GC5,P03466,PR8,NP
Q96I59,P03466,PR8,NP
Q9NPE3,P03466,PR8,NP
Q96CT7,P03466,PR8,NP
Q9NX20,P03466,PR8,NP
Q92665,P03466,PR8,NP
P27635,P03466,PR8,NP
Q12904,P03466,PR8,NP
Q13547,P03433,PR8,PA
Q6IB77,P03433,PR8,PA
P38919,P03433,PR8,PA
P62875,P03433,PR8,PA
O43823,P03433,PR8,PA
P82912,P03433,PR8,PA
P50570,P03433,PR8,PA
P42704,P03433,PR8,PA
Q9Y448,P03433,PR8,PA
P48047,P03433,PR8,PA
P11387,P03433,PR8,PA
O95758,P03433,PR8,PA
P08621,P03433,PR8,PA
Q14974,P03433,PR8,PA
Q9Y446,P03433,PR8,PA
Q9Y2R9,P03433,PR8,PA
Q8N661,P03433,PR8,PA
O95816,P03433,PR8,PA
P50222,P03433,PR8,PA
P52294,P03433,PR8,PA
P33992,P03433,PR8,PA
P62136,P03433,PR8,PA
