Protein1_ID,Protein2_ID,human_pname_raw,IAV_Strain,IAV_Segment,Score
P51398,P03496,RT29_HUMAN,PR8,NS1,0.374
Q15293,P03428,RCN1_HUMAN,PR8,PB2,0.373
O75506,P03496,HSBP1_HUMAN,PR8,NS1,0.371
P46781,P03431,RS9_HUMAN,PR8,PB1,0.371
P34932,P03431,HSP74_HUMAN,PR8,PB1,0.37
Q13049,P03431,TRI32_HUMAN,PR8,PB1,0.37
Q9NQ92,P03496,COPRS_HUMAN,PR8,NS1,0.369
Q9ULT8,P03431,HECD1_HUMAN,PR8,PB1,0.369
P06703,P03496,S10A6_HUMAN,PR8,NS1,0.369
Q15293,P03431,RCN1_HUMAN,PR8,PB1,0.367
O95816,P03433,BAG2_HUMAN,PR8,PA,0.366
P07737,P03496,PROF1_HUMAN,PR8,NS1,0.366
Q14974,P03433,IMB1_HUMAN,PR8,PA,0.365
P38159,P03428,RBMX_HUMAN,PR8,PB2,0.365
O43852,P03431,CALU_HUMAN,PR8,PB1,0.363
O43815,P03485,STRN_HUMAN,PR8,M1,0.362
P62277,P03508,RS13_HUMAN,PR8,NS2,0.361
Q96SI9,P03431,STRBP_HUMAN,PR8,PB1,0.361
Q13015,P03496,AF1Q_HUMAN,PR8,NS1,0.361
P62244,P03496,RS15A_HUMAN,PR8,NS1,0.359
P14625,P03468,ENPL_HUMAN,PR8,NA,0.359
O00165,P03431,HAX1_HUMAN,PR8,PB1,0.357
P53618,P03496,COPB_HUMAN,PR8,NS1,0.356
P35998,P06821,PRS7_HUMAN,PR8,M2,0.356
O00232,P03496,PSD12_HUMAN,PR8,NS1,0.355
Q9NZL4,P03485,HPBP1_HUMAN,PR8,M1,0.355
Q9Y5V3,P03428,MAGD1_HUMAN,PR8,PB2,0.355
O43852,P03428,CALU_HUMAN,PR8,PB2,0.354
Q8IY17,P03428,PLPL6_HUMAN,PR8,PB2,0.353
P35606,P03468,COPB2_HUMAN,PR8,NA,0.349
P62195,P06821,PRS8_HUMAN,PR8,M2,0.349
O43707,P03508,ACTN4_HUMAN,PR8,NS2,0.349
Q3KQU3,P03431,MA7D1_HUMAN,PR8,PB1,0.349
Q14204,P06821,DYHC1_HUMAN,PR8,M2,0.349
Q9ULX6,P03431,AKP8L_HUMAN,PR8,PB1,0.347
Q12789,P03431,TF3C1_HUMAN,PR8,PB1,0.347
Q9Y5V3,P06821,MAGD1_HUMAN,PR8,M2,0.346
O95071,P0C0U1,UBR5_HUMAN,PR8,PB1-F2,0.346
O14979,P03431,HNRDL_HUMAN,PR8,PB1,0.345
P43243,P03431,MATR3_HUMAN,PR8,PB1,0.345
Q13509,P03428,TBB3_HUMAN,PR8,PB2,0.345
Q9P2F8,P03431,SI1L2_HUMAN,PR8,PB1,0.345
Q15008,P03428,PSMD6_HUMAN,PR8,PB2,0.343
O75953,P03431,DNJB5_HUMAN,PR8,PB1,0.343
O75369,P03431,FLNB_HUMAN,PR8,PB1,0.343
A0AV96,P03496,RBM47_HUMAN,PR8,NS1,0.343
Q96PK6,P03428,RBM14_HUMAN,PR8,PB2,0.342
Q92542,P03485,NICA_HUMAN,PR8,M1,0.341
P35268,P03508,RL22_HUMAN,PR8,NS2,0.337
Q14204,P03431,DYHC1_HUMAN,PR8,PB1,0.337
P61962,P03428,DCAF7_HUMAN,PR8,PB2,0.337
O00459,P03428,P85B_HUMAN,PR8,PB2,0.336
Q92665,P03496,RT31_HUMAN,PR8,NS1,0.336
P04792,P03431,HSPB1_HUMAN,PR8,PB1,0.335
Q9Y5M8,P06821,SRPRB_HUMAN,PR8,M2,0.333
P78527,P03508,PRKDC_HUMAN,PR8,NS2,0.333
P39019,P03431,RS19_HUMAN,PR8,PB1,0.331
Q8N163,P03431,CCAR2_HUMAN,PR8,PB1,0.331
P82664,P03496,RT10_HUMAN,PR8,NS1,0.331
Q8N1F7,P03496,NUP93_HUMAN,PR8,NS1,0.33
Q13405,P03496,RM49_HUMAN,PR8,NS1,0.329
O75190,P03431,DNJB6_HUMAN,PR8,PB1,0.329
Q9Y291,P03496,RT33_HUMAN,PR8,NS1,0.329
Q9Y2X3,P03431,NOP58_HUMAN,PR8,PB1,0.329
Q15050,P03496,RRS1_HUMAN,PR8,NS1,0.328
Q00577,I6TAH8,PURA_HUMAN,Aichi,NP,0.327
Q27J81,P03496,INF2_HUMAN,PR8,NS1,0.327
Q9UKM9,P03428,RALY_HUMAN,PR8,PB2,0.326
Q6P1M0,P03496,S27A4_HUMAN,PR8,NS1,0.326
P62277,P03496,RS13_HUMAN,PR8,NS1,0.325
Q9H936,P03496,GHC1_HUMAN,PR8,NS1,0.324
